INSTNM	ADDR	CITY	STABBR	ZIP	LONGITUD	LATITUDE										
West Valley Mission Community College District Office	14000 Fruitvale Ave	Saratoga	CA	95070	-122.011079	37.262847										
West Valley College	14000 Fruitvale Ave	Saratoga	CA	95070	-122.009701	37.263133										
The Art Institute of California-Argosy University-Silicon Valley	1120 Kifer Rd	Sunnyvale	CA	94086	-121.99938	37.37317										
Five Branches University	200 7th Avenue	Santa Cruz	CA	95062	-121.998478	36.964133										
University of East-West Medicine	595 Lawrence Expressway	Sunnyvale	CA	94085	-121.996971	37.38638										
W Academy of Salon and Spa	520 San Ramon Valley Blvd	Danville	CA	94526	-121.996523	37.817838										
UEI College-Santa Cruz	3050 Paul Sweet Road	Santa Cruz	CA	95065	-121.985231	36.98817										
Mission College	3000 Mission College Blvd	Santa Clara	CA	95054	-121.982174	37.391323										
Institute for Business and Technology	2400 Walsh Avenue	Santa Clara	CA	95051	-121.969541	37.368642										
Academy for Salon Professionals	2238 El Camino Real	Santa Clara	CA	95050	-121.963421	37.35176										
Unitek College	4670 Auto Mall Pkwy	Fremont	CA	94538	-121.961751	37.50903										
International Culinary Center-California	700 West Hamilton Avenue	Campbell	CA	95008	-121.961511	37.29397										
Marinello Schools of Beauty-Santa Clara	955 Monroe St	Santa Clara	CA	95050	-121.947773	37.347964										
Blake Austin College	611 Orange Dr Ste K	Vacaville	CA	95687	-121.945606	38.378548										
BioHealth College	2665 N First St Ste 102	San Jose	CA	95134	-121.93022	37.38751										
San Jose City College	2100 Moorpark Ave	San Jose	CA	95128	-121.929747	37.316293										
